,username,comment,date,likes
75,@gabbsm8192,"Everyone need to really listen to what he say, some reporter change what he says, and everyone should come in legally. It’s fair for the ones that did come legally.",il y a 3 ans,
76,@brian197686,"He was right, they are terrible. Hence their ratings.",il y a 11 mois,"4 ""J'aime"""
77,@mymusicplaylist6889,"We live in a world where being ""Attacked"" doesn't actually need any physical contact, you just need to be made fun of to be attacked",il y a 4 ans,"48 ""J'aime"""
78,@a2lex_V,"“Thank you for telling me that, I appreciate it.” Hahaha why did he say that?",il y a 3 ans,"63 ""J'aime"""
79,@supremeleaderkimjongun,he spoke the truth,il y a 11 mois,"3 ""J'aime"""
80,@PRubin-rh4sr,Bruh Trump was about to walk out but the other reporters still had questions. They had to keep the guy quiet.,il y a 1 an,
81,@philnguyen5038,I just cant get enough of these Trump videos. They are awesome!!!,il y a 3 ans,"1 mention ""J'aime"""
82,@35mayocynthia,That reporter was out of line if someone does not want to talk to you. You do not keep on talking and keep on asking questions you walk away or you just sit down and shut up.,il y a 1 an,"2 ""J'aime"""
83,@BuyBBStonk,If you watched the entire press conference you would see how respectful the other journalists were to both each other and the president.,il y a 4 ans,"64 ""J'aime"""
84,@serdikobane1598,"I really don't like DT and almost everything he stands for, but the journalist's behaviour was as rude as it was disrespectful and unprofessionel.",il y a 2 ans,"34 ""J'aime"""
85,@tuzolanakandela2413,"That’s my man, the president chair will forever miss this man  I always call you the Americans master key",il y a 1 an,"11 ""J'aime"""
86,@gg9380,"The funny thing is that, by the title of the video, we should be on the side of the reporter.",il y a 5 mois,"2 ""J'aime"""
87,@sages101,"He had a great point. You can't just walk into a Country and say ""Yup, this is it. I'm staying here"" there's a process if you want to stay. That's how it goes.",il y a 2 semaines,
88,@joyroy1701,"how people are defending the most rich and powerful , when the reporter was simply doing what the reporters are supposed to do ask the toughest questions and repeat until answered ,",il y a 1 an,"2 ""J'aime"""
89,@malkwinter8998,"If somebody enters your house without your permission its called a ""home invasion"" isn't it?",il y a 4 ans,"3,1 k ""J'aime"""
90,@benjamintyus6957,Imagine having respect for authority figures and reporting the truth.....,il y a 3 ans,"7 ""J'aime"""
91,@mikespurgeon3345,Journalists... just a short cut to thinking.  Can you imagine at 5 years old you have already peaked at your profession.,il y a 2 ans,"1 mention ""J'aime"""
92,@smulk1200,"CNN Reporter: Mr. President....

Trump: Just sit down",il y a 1 an,"3 ""J'aime"""
93,@elizavo5858,this video actually makes donald a decent man ngl,il y a 3 ans,"1 mention ""J'aime"""
94,@GST51,"""your a rude and terrible person""   I now use this myself when anyone critisizes me !",il y a 1 an,"7 ""J'aime"""
95,@preciousklekpehyee7796,President Trump is 100% right from what I observed.,il y a 4 ans,"34 ""J'aime"""
96,@steviej359,"A perfect example of projectionism, accusing someone of what in fact he is guilty of himself.",il y a 2 ans,"1 mention ""J'aime"""
97,@jimmykeepingit100always6,He’s so right. Miss him,il y a 2 ans,"35 ""J'aime"""
98,@chilledcoke,Can't get enough of these interviews,il y a 5 mois,
99,@fruitcakefloyd2126,"President Trump Also says ""I THINK YOU SHOULD LET ME ME RUN THE COUNTRY"" He says it with PureConfidence Like it's not bIggie but is really the most stressful Job In USA as the leader of the Free World I miss him as President  at least he Character Judge Jeannie Pirro Fox News always convices me that Voting for him for right choice",il y a 2 ans,"1 mention ""J'aime"""
100,@Micaela1527,"""That's enough"" ... ""you are a rude terrible person"" ahahaha",il y a 2 ans (modifié),"1,1 k ""J'aime"""
101,@epiccsx,"Trump is always ready to say something bad about someone who disagrees with him, doesn't sound very moral to me..",il y a 2 ans (modifié),"17 ""J'aime"""
102,@ganeshbhogaraju4558,Things would have been way different & way positive if journalists start questioning public again and again.,il y a 1 an,
103,@abhishekshukla4135,He will be missed !,il y a 2 ans,"10 ""J'aime"""
104,@RD_hunter09,i am suprised that the guy didnt get arrested,il y a 1 an,"1 mention ""J'aime"""
105,@sheilap.mckinzie6943,It took me 5 years to get my U.S. citizenship & I came here legally.,il y a 3 ans,"141 ""J'aime"""
106,@zysidat,The american media never gave him a break..clearly jealous of his success.,il y a 2 ans,"6 ""J'aime"""
107,@BanJ0e82,LOL! I’m gonna miss Trump getting into fights with reporters.,il y a 2 ans,"10 ""J'aime"""
108,@9thwonder366,"Creating fear, creating a common enemy, thats how you run people",il y a 1 an,
109,@tanyakotze6754,"Well done PM Trump, I may be a bit late. Well handled and he is rude.",il y a 3 ans,"1 mention ""J'aime"""
110,@danielbesong7746,I love this man,il y a 1 an,"3 ""J'aime"""
111,@rabi9626,"I say this as a Canadian, the reporter was in the wrong.",il y a 4 ans,"474 ""J'aime"""
112,@Scythe6140,is there nothing called basic etiquette in CNN reporters. No I mean literally you are talking to the president of the nation and such undisciplined nature of asking questions can surely invite many legal actions which could be serious. How can one be so negligent about that?,il y a 2 ans,"4 ""J'aime"""
113,@nasietexx,If only reporters were this persistent when asking relevant questions to the leftist and lobbyists.,il y a 2 mois,"1 mention ""J'aime"""
114,@Yash-Gaikwad,As an outsider.... What's wrong with saying that they have to come legally.,il y a 1 an,"3 ""J'aime"""
115,@Adam-bw5nz,"As much we all hate to admit, the reporter crossed the line.",il y a 3 ans,
116,@sfl6307,Does Trump remember the rude things he said about women and people who are physically challenged.,il y a 1 an,"2 ""J'aime"""
117,@bisujin1685,"Just curious, is that common in America? Keep interrupting a person who is taking . I usually see some reporters and journalists  keep interrupting speakers.",il y a 3 ans (modifié),"800 ""J'aime"""
118,@tabbytriangle3403,Imagine Biden trying to deal with reporters like that. He'd be cowering behind his podium or tripping over himself to exit the stage.,il y a 2 semaines,
119,@kenyalee4982,Temendous inner strength from a man.,il y a 3 ans,"4 ""J'aime"""
