username,comment,date,likes
@Jeff-kw8jj,"The suspect held all the power in regards to what happened during the investigation.   At any time he could have submitted.  Too many suspects believe they can stop an arrest, they cannot.  Submit to the arrest and fight the charges later..if you don't think you should be arrested DO NOT FIGHT, TALK TO OR RUN FROM THE OFFICER IT IS NOT THE TIME!!!!!",3 years ago,0
@sue9038,"We all are free to choose our sins,  not the consequences  of those sins.",3 years ago,0
@mrphysics2625,"amazing how so many ppl claiming ""its just a taser"" that he stole dont seem to know what happens to a person that gets tased.

he aimed it back at the cops while running away which is shown on the wendys security camera footage.",3 years ago,31
@MrDank132,If he had cooperated he would still be alive. They were treating him with respect until he tried to run and then shot at them with the tazer. He shouldn't have been shot but honestly that's what they're trained to do so it's not their fault. Its the laws and training in that area. Why did he run??,3 years ago,55
@JohnOhkumaThiel,"I’m on the side of the victim overall, but from what I’m seeing both in these videos and others is that everything was fine until they tried to put the handcuffs on him, then he resisted, grabbed the cop’s taser pistol, took it, ran, pointed it back at the officer that was chasing him with the intention to tase him, and then he was shot with a firearm.",3 years ago,1
@bri9146,"If they didnt want to deal with it that day, they could have said, "" call somebody to get you"" a lot of people get junk and fight all the time. They have no judgement. He had no weapon but taser.",3 years ago,0
@karyn19,"Imminent threat includes him incapacitating an officer with the tazer and then possibly gaining posession of the service weapon. Split second like that, he had already showed himself to be willing to steal a weapon and use it.",3 years ago,12
@bekind5044,I wasn’t there but I think the officer should have offered him a ride home. Perhaps ask the driver to call for a ride and tow his car.  Just trying to arrest wasn’t the answer.  I understand he was drunk but he was not not diving at the time of incident (sleeping in the car).  God help us as a Nation!,3 years ago,1
@metallicak5,"The guy fired a taser at the police. At that point, you’re in the wrong, buddy.",3 years ago,16
@jasonargonaught8744,"I don't know if anyone is catching it but the cop who was chasing him had already stuck his taser cables into Brooks. It looked like he was running with those attached and at some point he pointed the taser that he grabbed as a way to ward off by maybe trying to distract the cop so he could put distance between them. I also am wondering from some of the other footage, it looks like the cop pulled out his taser and hit him with it and Brooks grabbed it to keep it from being used against him. Then decided that it might be best to take it with him as he ran away so that it couldn't be used to electrocute him as he fled.",3 years ago,0
@tonyb9185,"You do not have to do the field sobriety test,as you can fail it for normal reasons,they can not make you do it",3 years ago,0
@Usernameusername206,"Why resist arrest? If you are innocent, sort it out at the jail! People think, oh I'm going to get physical, and they will let me go?! Stupid!!",3 years ago,1
@sas9577,I applaud the officers for the way they handled this. You dont resist arrest because you're drunk. He even assaulted the an officer while trying to be contained and stole a taser and fired it upon the officer.  Everyone who thinks this was handle wrongly what if the story changed and the person driving drunk hit and killed someone then what... The outcome is sad but the person should of just went to jail his actions caused him to end up being shot and now he's dead.,3 years ago,0
@Strength_In_Wisdom,"I don't know how many have seen this story on CNN. But the cars moved after rayshard was shot once. The same officer proceeded to walk  his way to Rayshard Brooks, still living body, and shot him in the back again.",3 years ago,0
@tlhaloyn8485,Let that man run away. You have his car and his info. Don't shoot that man in the back for a minor or major offense.,3 years ago,64
@belescli,"Even if he had a gun, why do they shoot at him? Why can’t they run after him or just let him go? They have his car there to get his identification so that they can deal with him later.  How sick is the mind of police to think they can just shoot someone because a person did not subject to them?!?! Sick!",3 years ago,0
@JavierFernandez01,This makes sense. I was struggling with this one. But that last 20 seconds or so really drove the point home.,3 years ago,1
@thomwessels2281,"Just terrible that lethal force was used. If he just wasn't drunk, blocked a business, failed a FST, resisted arrest, fought with them to get away, TOOK THE LEOs TASER, FIRED IT AT HIM while fleeing....none of this would have ever happened.",3 years ago,1
@petergraziano5146,"In Canada hear they usually first will block his car so he/she can’t drive off, then they will ask questions while you are in the car. At no time do they allow you to get out of the car until more officers arrive. At that point they might put handcuffs on you for the safety of both parties. It was wrong of them asking him to get out of his car before asking him questions",3 years ago,0
@socialbuttfli78,In this day and age it is NOT beneficial to your health to run from the cops AND fire a taser at them.  The cops should've just caught up with him later on when he came home to make the arrest. His life saved and money in their pockets.,3 years ago,0
@zebontheweb,"I like drinking... but I don’t get behind the wheel when I do it.  Dude was so drunk he fell asleep with the car running.  At that point the police have to do something, and you have to admit there’s a problem.",3 years ago,31
@youjunshi5329,Holy shit! What a tragedy!,3 years ago,0
@callmecaution1,How people are saying that the police shot him because he is black is absolutely mindblowing to me. They gave him 3 opportunities to pull into a parking space without a breathalyzer. Dude totally escalated the situation on his own.,3 years ago,0
@robinsmith979,They had a reason to shoot him during the fight but they had no reason to chase him and shoot him down since they had his ID. It's not self defense if you chase and kill a person who's in possession of a non lethal weapon while you have a gun.,3 years ago,9
@daphnewheeler470,"Why didn't they show the part where he was speaking to them, admitted that he had a couple drinks, told them he had no problem walking home and that his sister lived close by. He tried to reason with them and they still insisted on arresting him.",3 years ago,0
@loudbeep,"If you watch the full video from the Wendy’s camera, the officers chased him down on foot and only shot at him after Brooks discharged the taser at them and headed for a car in the drive through.",3 years ago,0
@Faisal600,This is another reason why cops should be trained on deescalating situational procedures and communication,3 years ago,27
@sebastiansoto9972,"The Chief mentions the protocol for when deadly forced is authorized via policy, that stems from Tennessee v. Garner if you want to read up on it. All he had was 1 shot of the officers own taser, should not have escalated to the point it did. It was a bad shooting (per policy) which is why it was a clear cut case for the police to have him turn in his badge and face charges.",3 years ago,0
@scottishroad_pinoy9084,"“In fear of imminent to your life or the life of another to use deadly force.” All cops should know that. We took the same test before going into law enforcement. Common sense and a heart is what’s lacking. What clouds these cops minds are power behind the uniform and their guns. Their true characters shows. No one used their heads, sad a life is gone.",3 years ago,2
@kevinlangford7059,Funny how they cut off 40 minutes of these officers going out of their way to be nice to this guy. It also showed just how drunk this guy was.,3 years ago,12
@dereka.2507,"He couldn’t have been that drunk if he was asleep at the drive through of Wendy’s. Now if you found someone in the drive through Taco Bell asleep after ordering a Crunchwrap,that person is beyond drunk falling asleep after having placed such a dank order.",3 years ago,0
@Numbuh161588,"So the guy fought the police when they tried to put handcuffs on him after being passed out drunk in a drivethru, got tazed and still ran off. Then the other camera angle from Wendy’s shows him take something from a cop and point it at them while trying to escape... Seems like a pretty bad guy to me, I’d expect to be shot if I did the same things he did",3 years ago,0
@jeanbedessounda3571,saying you have no weapon really doesn't mean anything anymore..,3 years ago,86
@scetchmonkey007,"The real problem is two police officers should of been able to overpower him and subdue him. Instead they lost their tazer in the fight, and he did try to use it against them.",3 years ago,0
@keybraker,"First of all he was o  private property, a drive through if I am not mistaken, which means that the cops have no authority to be there even if he is sleeping, and over the influence of alcohol.
The fact that they shoot him because he did not want to go to jail for a crime that is punished by a ticket, is no reason to shoot him leathaly, they should try and catch him or seize the car, after all he would eventually come back for it.",3 years ago,1
@asaspayde7259,Have YOU seen the transcript.!?!?  It was NOT over 20 bucks  !!! He was outta his mind. The clerk was genuinely  concerned  for him,3 years ago,0
@parappasan,"I dont know if this is actually on the cops.  You cant allow someone to struggle or flee when arresting them, even if you must shoot them, regardless of the offense.  Someone could have shoplifted a loaf of bread, but he tries to take your sidearm or run away there's no choice.",3 years ago,1
@steelcitysteve8794,"Some people are sick in the head. Dui, resisting arrest and assault on a police officer are all crimes and he should have received 2 to 8 years in prison depending on the judge. Not a death sentence on the spot. No man should be judge jury and executioner as that cop chose to be.",3 years ago,1
@lewismorris5931,They sure cut that clip off quick!,3 years ago,134
@XavierDarkhand,"Saw the whole clip; this one is marred with speaking over it, making it difficult to get a clear picture.
The cops weren't racist or hostile, they were actually very polite. So was the victim. It's awful because all parties were super chill until the final split second the guy's decision process went south.",3 years ago,10
@markparfett5380,I am seeing 3 things here. 1 police competence 2. Police incompetence 3. A felon who makes a bad decision to run. The cops checked that he didn’t have a weapon. How did he think he was gonna get away with not being arrested and then try and run and leave behind his car. He is gone now but demonstrates that each party must take some responsibility!,3 years ago,0
@avitia38super,He seems to be standing on one leg just fine.,3 years ago,0
@pamelawing626,"Gotta love that alcohol.  I'm thinking, as I watched it, ""what in gawd's name do you think you  are doing?!!!!!!""  He should not have been shot, they had his license, knew where he lived, they should have let him go.",3 years ago,0
@jacksmith5692,"I watched the entire video multiple times and was shocked how professional that the cops were. They bent over backwards being professional to a guy obviously impaired and the number that he blew proved that. In other words, the guy was bombed and then instead of him complying he acted aggressively grabbing the taser gun and now the cops feared if they were hit and down he could have grabbed the gun and killed them.",3 years ago,0
@Irish_all_day,You guys need to post whole videos. For clarity I was talking about the rest of the commentators opinion.,3 years ago,271
@kingcolga266,"Taser in United States is not considered a deadly weapon and also the guy was running away and he didn’t even really aimed at the police, just shot the taser behind him and kept running.The cop can’t even say he fear for his life because he chased after the guy and gunned him down. First Degree Murder. Premeditated. if anything, they should just let him go, they had his information his license plate, his face and his name and they could’ve just picked him up later and took him to jail. I’m a lawyer here in Georgia.",3 years ago,0
@beckamiller4900,"When someone is driving while intoxicated, fighting police officers, running and firing a taser at the officer in pursuit, he was an imminent threat to the officers, the public, and himself before he stepped out of his vehicle.",3 years ago,9
@geoycs,Exactly! You have to be in fear of your life or protecting the life of someone else if you are to use deadly force!! You can’t just shoot a drunk guy because he panics and runs away. When the FUCK are these cops going to actually get it through their heads that this kind of policing is wrong?,3 years ago,0
@ahauntedplace,"It’s just another day at the office for these guys, smh so sad. Shoot an impaired man in the back because he pointed a taser off to the side low to the ground. The man would have clearly missed & you fire 3 rounds at damn near point blank range. He is a human being!!! Did everyone else see the cops face while he was questioning him...?? He better get prosecuted.",3 years ago,0
@workisworktv7831,He took one of the officers tasers and ran. Just not caught on this clip that they showed.,3 years ago,62
@danniboi82,He should've complied and the police shouldn't have used a damn gun in that kind of situation.. period,3 years ago,40
@kyle9438,"He drove under the influence, fell asleep in his car, resisted arrest, punched the police, stole a taser, upon fleeing turned and fired the taser at the police officer who no longer had the less lethal taser option.",3 years ago,0
