username,comment,like,date,comment_length
beecee7488,Smh  Why did he resist  Clearly this could have been prevented,0,2020-11-13 10:40:59.345294,67
calebkopitsky7611,The punishment for assaulting an officer isnt death He was running away when they shot him He was not a threat to the officers health at that point,29,2020-11-13 10:40:59.345294,152
silverjones2317,How difficult is it to know that YOU DONT RESIST ARREST,1,2020-11-13 10:40:59.345294,59
galaxyxss2881,Im sorry for what happen but thats way different from what happen to George Floyd That guy shouldnt have done that,38,2020-11-13 10:40:59.345294,118
SonnyBCreative,The officer was too focused on getting the arrest The man was drunk and calm So I think the officer didnt have to rush to arrest him He tried to handcuff him in a few seconds I feel this couldve had a very safe outcome if the officer wouldve kept a calm pace and explain the the guy first then arrest just as he took time to explain and confirm about the breath test  The man may have turned around by himself and surrendered,0,2020-11-13 10:40:59.345294,436
menghic531,Very sad ending   First of all the suspect is mainly responsible for his own death  Get out of the car and comply with the police  You dont fight with the police take any weapon and run Yes a taser cant kill you  but you mustnt take anything from the police  What was the purpose of said action,1,2020-11-13 10:40:59.345294,308
ladyslovelucas82,They woke him up told him to pull over to a parking spot and get some sleep but then he passed out again then the cops woke him up again and started questioning him That was cut from the video,1,2020-11-13 10:40:59.345294,194
rogerdread38,We must always look within ourselves frist And make the changes Starting to show love between ourselves Then well see the real changes,4,2020-11-13 10:40:59.345294,138
ariraquel4567,They edited out alot of footagethe police were not mean to him he chose to resist arrest after approximately 40 mins of talking calmly to him,0,2020-11-13 10:40:59.345294,143
Machinedead,He could have just gotten away with a night in jail and maybe losing his drivers license but he just had to resist arrest and run away with a taser and then shoot it at the police  Huh    ok that was stupid dude  Guy nust have been really drunk or really high on drugs,11,2020-11-13 10:40:59.345294,282
youracherrynut442,this ones contentious but I think we can all agree that he didnt have to lose his life given that he was initially cooperating and interacting with the officer in a friendly manner,0,2020-11-13 10:40:59.345294,183
dub3140,The sad thing isis he could have refused the breathalyzerThey were not sure what he was doingThey didnt suspect he was drunk at firstAnd they didnt catch him driver drunk eitherJust parked restingThey didnt have to do anything but drive him homeInstead they chose to go this route smh,0,2020-11-13 10:40:59.345294,292
DarthJeremy364,seeing the comments for this video gives me hope for humanity,3,2020-11-13 10:40:59.345294,62
tsu8003,Theres a 43 minute unedited version of the police cam that shows 41 minutes of an ordinary decent police officer doing his duty politely and courteously and 2 minutes of a criminal resisting arrest,0,2020-11-13 10:40:59.345294,199
